Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Metric,Part Number,,
C1,1,1.8pF 6.3V (0.1pF),,,,Capacitor_SMD:C_0201_0603Metric,CBR02C189B9GAC ,,*
C2,1,1.2pF 6.3V (0.1pF),,,,Capacitor_SMD:C_0201_0603Metric,CBR02C129B9GAC ,,*
C3,1,1uF 6.3V 20%,,,,Capacitor_SMD:C_0201_0603Metric,CL03A105MQ3CSNC,,*
"C4,C6,C7,C20,C21",5,0.1uF 6.3V 20%,,,,Capacitor_SMD:C_0201_0603Metric,GRM033R60J104ME19D,,*
C5,1,10uF 6.3V 20%,,,,Capacitor_SMD:C_0402_1005Metric,GRM155R60J106ME05D,,*
C8,1,10nF 6.3V 10000pF 10%,,,,Capacitor_SMD:C_0201_0603Metric,GMC02X7R103K6R3NT,,*
C9,1,1uF 6.3V 20%,,,,Capacitor_SMD:C_0201_0603Metric,CL03A105MQ3CSNC,,*
C10,1,1uF 10V 20%,,,,Capacitor_SMD:C_0402_1005Metric,GRM153R61A105ME95D,,*
C11,1,1uF 6.3V 20%,,,,Capacitor_SMD:C_0402_1005Metric,CL05A105MQ5NNNC,,*
C14,1,1uF 6.3V 10%,,,,_0402,C0402C105K9PACTU,,*
"C12,C13",2,9.8pF,,,,Capacitor_SMD:C_0201_0603Metric,CQ0201CRNPO8BN9R8,,*
"C15,C16",2,1pF 5V,DNP,,Excluded from board,Capacitor_SMD:C_0201_0603Metric,,,
C17,1,10uF 5V,DNP,,Excluded from board,Capacitor_SMD:C_0402_1005Metric,,,
C18,1,10uF 10V 20%,,,,Capacitor_SMD:C_0402_1005Metric,GRM155R61A106ME11D,,*
C19,1,0.1uF 10V 20%,,,,Capacitor_SMD:C_0402_1005Metric,CC0402MRX5R6BB104,,*
"CR1,CR2",2,SS14,,,,ESP32_C3:CR_SMA_403AE_OSI,SS14,,*
CR3,1,SMAJ6.0A,,,,ESP32_C3:SMASeries_LTF-L,SMAJ6.0A,,*
D1,1,LTST-C191KFKT,,,,ESP32_C3:LEDC1608X55N,LTST-C191KFKT,,*
J1,1,USB4215-03-A,,,,"PCB Top Mount, Horizontal, 16Pin ",USB4215-03-A,,*
"J3,J4",2,*****,,,,ESP32_C3:SAMTEC_TS-110-T-AA,*****,,
J5,1,CONMHF4-SMD-G-T,,,,ESP32_C3:TE_CONMHF4-SMD-G-T,CONMHF4-SMD-G-T,,*
L1,1,3nH,,,,Inductor_SMD:L_0201_1005Metric,LQP03TN3N0B02D,,*
L2,1,2nH,,,,Inductor_SMD:L_0201_0603Metric,LQP03HQ2N0B02D,,*
R1,1,499R 1% 0.075W,,,,Resistor_SMD:R_0201_0603Metric,TNPW0201499RBEED,,*
R2,1,130R 1% 1/16,,,,Resistor_SMD:R_0201_0603Metric,CR0201-JW-131GLF ,,*
R4,1,0R,,,,Capacitor_SMD:C_0201_0603Metric,CR0201AJ/-000GAS,,*
"R5,R6,R7,R8",4,10K 1% 1/20,,,,Resistor_SMD:R_0201_0603Metric,RC0201FR-0710KL,,*
"R10,R11",2,22R 1% ,,,,Resistor_SMD:R_0201_0603Metric,ERJ-1GNF22R0C,,*
R12,1,1.5K,,,Excluded from board,Resistor_SMD:R_0201_0603Metric,,,
"R13,R14",2,5.1K 1% 1/20,,,,Res_0201,RK73H1HTTC5101F,,*
"S1,S2",2,SKRPABE010,,,,ESP32_C3:SW_SKRPABE010,SKRPABE010,,*
U1,1,ESP32-C3FH4,,,,ESP32_C3:QFN50P500X500X90-33N,ESP32-C3FH4,,*
U2,1,USBLC6-2SC6,,,,ESP32_C3:SOT95P280X145-6N,USBLC6-2SC6,,*
U3,1,TLV75733PDBVR,,,,ESP32_C3:SOT95P280X145-5N,TLV75733PDBVR,,*
Y1,1,XRCGB40M000F1S1LR0,,,,ESP32_C3:OSC_XRCGB40M000F1S1AR0,XRCGB40M000F1S1LR0,,*
C_Extra1,,6.8pF +-0.25pF,,,,,GRM0335C1H6R8CA01D,,
C_Extra2,,7.8pF,,,,,GJM0335C1E7R8CB01D,,
C_Extra3,,8pF,,,,,GJM0335C1E8R0CB01D,,
C_Extra4,,8.8pF,,,,,,,
